trial #,role,code,restaurant features code,,,
7,assistant,"ACK, IP, CQ",,,,
7,seeker,RP,,,,
7,assistant,ACK,,,,
7,seeker,ACK,,,,
7,assistant,"RE, EAI, ACK, EP",,,,
7,seeker,ACK,,,,
7,assistant,"EP,  PER, PER",,,,
7,seeker,OTH,,,,
7,assistant,IP,,,,
7,seeker,ACK,,,,
7,assistant,RI,,,,
7,seeker,ANS,,,,
7,assistant,"ACK, CQ",,,,
7,seeker,"ANS, PP",,,,
7,assistant,"RS, EP, EAI, EP, EAI",,,,
7,seeker,ACK,,,,
7,assistant,"ACK, EP, EP, PER",,,,
7,seeker,OTH,,,,
7,assistant,EF,,,,
7,seeker,"INQ, OTH",,,,
7,assistant,"ACK, ANS, PEX, EP",,,,
7,seeker,"ACK, INQ",,,,
7,assistant,ANS,,,,
7,seeker,ACK,,,,
7,assistant,"PCM, ANS, EAI",,,,
7,seeker,"INQ, INQ",,,,
7,assistant,"ANS, PCN",,,,
7,seeker,ACK,,,,
7,assistant,PEX,,,,
7,seeker,"ACK, OTH",,,,
7,assistant,"EF, AO, IP",,,,
7,seeker,OTH,,,,
7,assistant,OTH,,,,
7,seeker,OTH,,,,
7,assistant,OTH,,,,
7,seeker,OTH,,,,
7,assistant,"RS, EAI",,,,
7,seeker,ACK,,,,
7,assistant,"EAI, PER, EP",,,,
7,seeker,ACK,,,,
7,assistant,"EAI, PER",,,,
7,seeker,OTH,,,,
7,assistant,EAI,,,,
7,seeker,ACK,,,,
7,assistant,PER,,,,
7,seeker,"ACT, OTH",,,,
7,assistant,ACK,,,,
7,seeker,OTH,,,,
7,assistant,"ACK, EAI",,,,
7,seeker,OTH,,,,
7,assistant,EAI,,,,
7,seeker,OTH,,,,
7,assistant,OTH,,,,
8,assistant,OTH,"CUT, PR, LOC, AMB, SV, DRN",,,
8,seeker,"PCT, PP, PP, IQ, PP",,,,
8,assistant,RI,,,,
8,seeker,"ANS, PP",,,,
8,assistant,"RE, EP, PCN",,,,
8,seeker,ANS,,,,
8,assistant,"EAI, EAI",,,,
8,seeker,INQ,,,,
8,assistant,"ANS, EAI, EAI",,,,
8,seeker,"ACK, INQ",,,,
8,assistant,ANS,,,,
8,seeker,"PCT, CON",,,,
8,assistant,"ACK, RS, EAI",,,,
8,seeker,OTH,,,,
8,assistant,EAI,,,,
8,seeker,INQ,,,,
8,assistant,ANS,,,,
8,seeker,CON,,,,
8,assistant,ACK,,,,
8,seeker,CA,,,,
8,assistant,"RS, EP, PCN, EAI, EAI",,,,
8,seeker,ACT,,,,
9,assistant,OTH,"TYP, LOC, AMB, OSN",,,
9,seeker,OTH,,,,
9,assistant,OTH,,,,
9,seeker,"OTH, PCT, PP, PP, PP, IQ",,,,
9,assistant,"ACK, CQ",,,,
9,seeker,RP,,,,
9,assistant,IP,,,,
9,seeker,OTH,,,,
9,assistant,"RS, EP",,,,
9,seeker,ACK,,,,
9,assistant,EAI,,,,
9,seeker,ACK,,,,
9,assistant,"EAI, EP, EAI",,,,
9,seeker,ACK,,,,
9,assistant,"EP, EAI",,,,
9,seeker,CA,,,,
9,assistant,"ACK, ANS",,,,
9,seeker,RJT,,,,
9,assistant,"IP, RS, EP, EAI",,,,
9,seeker,ACK,,,,
9,assistant,PCN,,,,
9,seeker,"ACK, INQ",,,,
9,assistant,"ANS, EAI",,,,
9,seeker,"ACT, OTH",,,,
10,assistant,OTH,"TM, TYP, NOL, PKG, CUT, LOC, RVT, PRO",,,
10,seeker,"IQ, PCT, PP, PP, PP, PP, PP",,,,
10,assistant,"ACK, IP, ACK",,,,
10,seeker,ACK,,,,
10,assistant,ACK,,,,
10,seeker,ACK,,,,
10,assistant,ACK,,,,
10,seeker,ACK,,,,
10,assistant,RI,,,,
10,seeker,"ANS, PP",,,,
10,assistant,ACK,,,,
10,seeker,PP,,,,
10,assistant,"ACK, IP",,,,
10,seeker,ACK,,,,
10,assistant,AO,,,,
10,seeker,ANS,,,,
10,assistant,"ACK, CQ",,,,
10,seeker,ANS,,,,
10,assistant,"ACK, RI",,,,
10,seeker,"ANS, PP",,,,
10,assistant,ACK,,,,
10,seeker,ACK,,,,
10,assistant,CQ,,,,
10,seeker,ANS,,,,
10,assistant,"ACK, AO",,,,
10,seeker,ANS,,,,
10,assistant,"ACK, EP",,,,
10,seeker,ACK,,,,
10,assistant,"RS, EAI, EAI, EAI, EAI, AO",,,,
10,seeker,ANS,,,,
10,assistant,"RS, EAI, EAI, EP, RS, EAI, RS, EAI, EAI",,,,
10,seeker,ACK,,,,
10,assistant,"AO, AO",,,,
10,seeker,"INQ, ACT",,,,
10,assistant,CQ,,,,
10,seeker,ANS,,,,
10,assistant,"ACK, RI",,,,
10,seeker,ANS,,,,
10,assistant,EAI,,,,
10,seeker,ACK,,,,
10,assistant,AO,,,,
10,seeker,ANS,,,,
10,assistant,"ACK, EF",,,,
10,seeker,"INQ, PP",,,,
10,assistant,ANS,,,,
10,seeker,ACK,,,,
10,assistant,CQ,,,,
10,seeker,ANS,,,,
10,assistant,"EAI, AO",,,,
10,seeker,"RJT, CF",,,,
10,assistant,"ACK, OTH",,,,
10,seeker,OTH,,,,
10,assistant,OTH,,,,
10,seeker,OTH,,,,
10,assistant,OTH,,,,
10,seeker,ACK,,,,
10,assistant,"OTH, IP, EAI",,,,
10,seeker,ACK,,,,
10,assistant,EP,,,,
10,seeker,"ACK, ACT",,,,
10,assistant,"EP, EAI",,,,
10,seeker,ACK,,,,
10,assistant,"AO, CQ",,,,
10,seeker,"ANS, OTH",,,,
10,assistant,EF,,,,
10,seeker,ANS,,,,
10,assistant,OTH,,,,
10,seeker,OTH,,,,
10,assistant,OTH,,,,
10,seeker,OTH,,,,
10,assistant,OTH,,,,
10,seeker,OTH,,,,
11,assistant,OTH,"RVT, CUT, MNU, PR, LOC, PKG, TM, DT",,,
11,seeker,"OTH, IQ, PP, PCT",,,,
11,assistant,"ACK, RI, RI",,,,
11,seeker,"ANS, PCT",,,,
11,assistant,"ACK, OTH",,,,
11,seeker,ACK,,,,
11,assistant,RI,,,,
11,seeker,PP,,,,
11,assistant,ACK,,,,
11,seeker,ACK,,,,
11,assistant,"RI, AO",,,,
11,seeker,"ANS, PCT, PP",,,,
11,assistant,"ACK, IP, AO",,,,
11,seeker,"PP, INQ",,,,
11,assistant,ANS,,,,
11,seeker,"ACK, INQ",,,,
11,assistant,IP,,,,
11,seeker,ACK,,,,
11,assistant,RI,,,,
11,seeker,"ANS, PP, OTH",,,,
11,assistant,CQ,,,,
11,seeker,RP,,,,
11,assistant,"IP, AO, AO",,,,
11,seeker,ANS,,,,
11,assistant,"ACK, RS, EAI, AO",,,,
11,seeker,"ANS, INQ",,,,
11,assistant,ANS,,,,
11,seeker,ACK,,,,
11,assistant,"EP, RI",,,,
11,seeker,"ANS, CA",,,,
11,assistant,"ACK, EAI, EP",,,,
11,seeker,ACK,,,,
11,assistant,CQ,,,,
11,seeker,ANS,,,,
11,assistant,"IP, EAI",,,,
11,seeker,ACK,,,,
11,assistant,"PER, PER, EAI",,,,
11,seeker,ACK,,,,
11,assistant,AO,,,,
11,seeker,"PCT, CA",,,,
11,assistant,"ANS, EAI",,,,
11,seeker,ACK,,,,
11,assistant,ACK,,,,
11,seeker,ACK,,,,
11,assistant,AO,,,,
11,seeker,ANS,,,,
11,assistant,RI,,,,
11,seeker,"ANS, OTH",,,,
11,assistant,RI,,,,
11,seeker,ANS,,,,
11,assistant,AO,,,,
11,seeker,ANS,,,,
11,assistant,"ACK, AO",,,,
11,seeker,"ANS, ACT",,,,
11,assistant,"PER, IP, CQ",,,,
11,seeker,ANS,,,,
11,assistant,ACK,,,,
11,seeker,ANS,,,,
11,assistant,AO,,,,
11,seeker,ANS,,,,
11,assistant,OTH,,,,
11,seeker,OTH,,,,
11,assistant,EAI,,,,
11,seeker,"ACK, OTH",,,,
11,assistant,EF,,,,
11,seeker,OTH,,,,
11,assistant,OTH,,,,
11,seeker,OTH,,,,
11,assistant,OTH,,,,
12,assistant,OTH,"SV, CUT, PR, LOC, RTN",,,
12,seeker,"PCT, IQ, PP, PP",,,,
12,assistant,"ACK, OTH",,,,
12,seeker,OTH,,,,
12,assistant,RI,,,,
12,seeker,ANS,,,,
12,assistant,ANS,,,,
12,seeker,PP,,,,
12,assistant,OTH,,,,
12,seeker,OTH,,,,
12,assistant,IP,,,,
12,seeker,PP,,,,
12,assistant,"IP, ACK",,,,
12,seeker,OTH,,,,
12,assistant,IP,,,,
12,seeker,PP,,,,
12,assistant,ACK,,,,
12,seeker,ACK,,,,
12,assistant,ACK,,,,
12,seeker,ACK,,,,
12,assistant,RI,,,,
12,seeker,"PP, PP",,,,
12,assistant,"ACK, OTH, PEX, RS",,,,
12,seeker,ACK,,,,
12,assistant,"PER, EP, PER, EAI",,,,
12,seeker,CA,,,,
12,assistant,PEX,,,,
12,seeker,OTH,,,,
12,assistant,PER,,,,
12,seeker,ACK,,,,
12,assistant,"PER, EAI",,,,
12,seeker,INQ,,,,
12,assistant,IP,,,,
12,seeker,ACK,,,,
12,assistant,ANS,,,,
12,seeker,ACK,,,,
12,assistant,EP,,,,
12,seeker,"ACK, OTH",,,,
12,assistant,"RS, PEX",,,,
12,seeker,ACK,,,,
12,assistant,PEX,,,,
12,seeker,INQ,,,,
12,assistant,PEX,,,,
12,seeker,OTH,,,,
12,assistant,PCN,,,,
12,seeker,OTH,,,,
12,assistant,"EP, EP",,,,
12,seeker,ACK,,,,
12,assistant,PER ,,,,
12,seeker,ACK,,,,
12,assistant,ACK,,,,
12,seeker,OTH,,,,
12,assistant,AO,,,,
12,seeker,INQ,,,,
12,assistant,ANS,,,,
12,seeker,OTH,,,,
12,assistant,EAI,,,,
12,seeker,NR,,,,
12,assistant,OTH,,,,
12,seeker,OTH,,,,
12,assistant,EF,,,,
12,seeker,OTH,,,,
12,assistant,OTH,,,,
12,seeker,OTH,,,,
12,assistant,OTH,,,,
12,seeker,OTH,,,,
